id,map_id,region_id,scene_tags,comment
ID,map id,region id,scene tags separated by ;,maintenance note
1,classic,301,city_market;medicine;teahouse;official_order;city_order;market;appraisal;inn;forge;artifact;weapon;pawnshop;tax;casework;night_watch;household_register;bulletin;court;post;relief;grain;gate;caravan;roadside,青云城
2,classic,302,city_market;market;black_market;rumor;frontier;caravan;roadside;inn;tax;post;court;casework,沙州城
3,classic,303,city_market;medicine;teahouse;market;inn;forge;artifact;weapon;pawnshop;household_register;relief;grain,翠林城
4,classic,304,port;river_trade;sea_trade;tide;market;appraisal;inn;tax;ship;caravan;roadside,沧澜城
5,classic,305,mountain_pass;frontier;medicine;market;post;roadside;inn;forge;tax;casework,揽月城
6,island_seas,301,port;sea_trade;tide;shipyard;market;appraisal;inn;ship;salt;fishing;pearl;sea_chart;tax,海岛港城
7,island_seas,304,port;sea_trade;tide;medicine;market;inn;ship;salt;fishing;pearl;sea_chart;tax,海岛港城
8,island_seas,305,port;sea_trade;tide;shipyard;black_market;rumor;ship;salt;fishing;pearl;sea_chart;tax,海岛港城
9,mountain_frontier,301,mountain_pass;frontier;official_order;city_order;market;post;roadside;inn;tax;casework;night_watch;court,山岭边城
10,mountain_frontier,302,mining;frontier;mountain_pass;market;post;roadside;inn;appraisal;forge;tax,矿业边城
11,mountain_frontier,305,mountain_pass;frontier;medicine;market;post;roadside;inn;caravan;casework,山岭小城
12,classic,401,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,宗门驻地
13,classic,402,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,宗门驻地
14,classic,403,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,宗门驻地
15,classic,404,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,宗门驻地
16,classic,405,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,宗门驻地
17,classic,406,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,宗门驻地
18,island_seas,401,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,海岛宗门
19,island_seas,402,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,海岛宗门
20,island_seas,403,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,海岛宗门
21,island_seas,404,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,海岛宗门
22,island_seas,405,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,海岛宗门
23,island_seas,406,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,海岛宗门
24,mountain_frontier,401,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,山岭宗门
25,mountain_frontier,402,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,山岭宗门
26,mountain_frontier,403,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,山岭宗门
27,mountain_frontier,404,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,山岭宗门
28,mountain_frontier,405,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,山岭宗门
29,mountain_frontier,406,sect_edge;pilgrimage;spirit_field;alchemy;archive;tenant;market;beast_pen;forge;kitchen;sweep;vassal;messenger,山岭宗门
30,classic,110,forest;medicine;wild;roadside,青云林海
31,classic,106,ferry;river_trade;roadside;wild,天河湾口
32,classic,107,forest;wild;timber;frontier,东岭山脉
33,island_seas,103,forest;medicine;wild;roadside,西侧雨岛
34,island_seas,106,ferry;river_trade;sea_trade;roadside;wild,潮汐航道
35,island_seas,115,forest;wild;timber;roadside,竹影群洲
36,mountain_frontier,110,forest;medicine;wild;roadside,林谷夹道
37,mountain_frontier,106,ferry;river_trade;roadside;frontier;wild,峡河奔流
38,mountain_frontier,103,forest;medicine;wild;frontier,南岭密林
