profile_id,realm_key,stage_key,realm_name_id,stage_name_id,full_name_id,sort_order
体系ID,标准境界ID,标准阶段ID,大境界名称ID,阶段名称ID,完整名称ID,排序
dao,QI_REFINEMENT,EARLY_STAGE,cultivation_alias.dao.realm.qi_refinement,cultivation_alias.dao.stage.early,,101
dao,QI_REFINEMENT,MIDDLE_STAGE,cultivation_alias.dao.realm.qi_refinement,cultivation_alias.dao.stage.middle,,102
dao,QI_REFINEMENT,LATE_STAGE,cultivation_alias.dao.realm.qi_refinement,cultivation_alias.dao.stage.late,,103
dao,FOUNDATION_ESTABLISHMENT,EARLY_STAGE,cultivation_alias.dao.realm.foundation_establishment,cultivation_alias.dao.stage.early,,111
dao,FOUNDATION_ESTABLISHMENT,MIDDLE_STAGE,cultivation_alias.dao.realm.foundation_establishment,cultivation_alias.dao.stage.middle,,112
dao,FOUNDATION_ESTABLISHMENT,LATE_STAGE,cultivation_alias.dao.realm.foundation_establishment,cultivation_alias.dao.stage.late,,113
dao,CORE_FORMATION,EARLY_STAGE,cultivation_alias.dao.realm.core_formation,cultivation_alias.dao.stage.early,,121
dao,CORE_FORMATION,MIDDLE_STAGE,cultivation_alias.dao.realm.core_formation,cultivation_alias.dao.stage.middle,,122
dao,CORE_FORMATION,LATE_STAGE,cultivation_alias.dao.realm.core_formation,cultivation_alias.dao.stage.late,,123
dao,NASCENT_SOUL,EARLY_STAGE,cultivation_alias.dao.realm.nascent_soul,cultivation_alias.dao.stage.early,,131
dao,NASCENT_SOUL,MIDDLE_STAGE,cultivation_alias.dao.realm.nascent_soul,cultivation_alias.dao.stage.middle,,132
dao,NASCENT_SOUL,LATE_STAGE,cultivation_alias.dao.realm.nascent_soul,cultivation_alias.dao.stage.late,,133
sanxiu,QI_REFINEMENT,EARLY_STAGE,cultivation_alias.dao.realm.qi_refinement,cultivation_alias.dao.stage.early,,201
sanxiu,QI_REFINEMENT,MIDDLE_STAGE,cultivation_alias.dao.realm.qi_refinement,cultivation_alias.dao.stage.middle,,202
sanxiu,QI_REFINEMENT,LATE_STAGE,cultivation_alias.dao.realm.qi_refinement,cultivation_alias.dao.stage.late,,203
sanxiu,FOUNDATION_ESTABLISHMENT,EARLY_STAGE,cultivation_alias.dao.realm.foundation_establishment,cultivation_alias.dao.stage.early,,211
sanxiu,FOUNDATION_ESTABLISHMENT,MIDDLE_STAGE,cultivation_alias.dao.realm.foundation_establishment,cultivation_alias.dao.stage.middle,,212
sanxiu,FOUNDATION_ESTABLISHMENT,LATE_STAGE,cultivation_alias.dao.realm.foundation_establishment,cultivation_alias.dao.stage.late,,213
sanxiu,CORE_FORMATION,EARLY_STAGE,cultivation_alias.dao.realm.core_formation,cultivation_alias.dao.stage.early,,221
sanxiu,CORE_FORMATION,MIDDLE_STAGE,cultivation_alias.dao.realm.core_formation,cultivation_alias.dao.stage.middle,,222
sanxiu,CORE_FORMATION,LATE_STAGE,cultivation_alias.dao.realm.core_formation,cultivation_alias.dao.stage.late,,223
sanxiu,NASCENT_SOUL,EARLY_STAGE,cultivation_alias.dao.realm.nascent_soul,cultivation_alias.dao.stage.early,,231
sanxiu,NASCENT_SOUL,MIDDLE_STAGE,cultivation_alias.dao.realm.nascent_soul,cultivation_alias.dao.stage.middle,,232
sanxiu,NASCENT_SOUL,LATE_STAGE,cultivation_alias.dao.realm.nascent_soul,cultivation_alias.dao.stage.late,,233
wu,QI_REFINEMENT,EARLY_STAGE,cultivation_alias.wu.realm.qi_refinement,cultivation_alias.wu.stage.early,,301
wu,QI_REFINEMENT,MIDDLE_STAGE,cultivation_alias.wu.realm.qi_refinement,cultivation_alias.wu.stage.middle,,302
wu,QI_REFINEMENT,LATE_STAGE,cultivation_alias.wu.realm.qi_refinement,cultivation_alias.wu.stage.late,,303
wu,FOUNDATION_ESTABLISHMENT,EARLY_STAGE,cultivation_alias.wu.realm.foundation_establishment,cultivation_alias.wu.stage.early,,311
wu,FOUNDATION_ESTABLISHMENT,MIDDLE_STAGE,cultivation_alias.wu.realm.foundation_establishment,cultivation_alias.wu.stage.middle,,312
wu,FOUNDATION_ESTABLISHMENT,LATE_STAGE,cultivation_alias.wu.realm.foundation_establishment,cultivation_alias.wu.stage.late,,313
wu,CORE_FORMATION,EARLY_STAGE,cultivation_alias.wu.realm.core_formation,cultivation_alias.wu.stage.early,,321
wu,CORE_FORMATION,MIDDLE_STAGE,cultivation_alias.wu.realm.core_formation,cultivation_alias.wu.stage.middle,,322
wu,CORE_FORMATION,LATE_STAGE,cultivation_alias.wu.realm.core_formation,cultivation_alias.wu.stage.late,,323
wu,NASCENT_SOUL,EARLY_STAGE,cultivation_alias.wu.realm.nascent_soul,cultivation_alias.wu.stage.early,,331
wu,NASCENT_SOUL,MIDDLE_STAGE,cultivation_alias.wu.realm.nascent_soul,cultivation_alias.wu.stage.middle,,332
wu,NASCENT_SOUL,LATE_STAGE,cultivation_alias.wu.realm.nascent_soul,cultivation_alias.wu.stage.late,,333
confucianism,QI_REFINEMENT,EARLY_STAGE,cultivation_alias.confucianism.realm.qi_refinement,cultivation_alias.confucianism.stage.early,,401
confucianism,QI_REFINEMENT,MIDDLE_STAGE,cultivation_alias.confucianism.realm.qi_refinement,cultivation_alias.confucianism.stage.middle,,402
confucianism,QI_REFINEMENT,LATE_STAGE,cultivation_alias.confucianism.realm.qi_refinement,cultivation_alias.confucianism.stage.late,,403
confucianism,FOUNDATION_ESTABLISHMENT,EARLY_STAGE,cultivation_alias.confucianism.realm.foundation_establishment,cultivation_alias.confucianism.stage.early,,411
confucianism,FOUNDATION_ESTABLISHMENT,MIDDLE_STAGE,cultivation_alias.confucianism.realm.foundation_establishment,cultivation_alias.confucianism.stage.middle,,412
confucianism,FOUNDATION_ESTABLISHMENT,LATE_STAGE,cultivation_alias.confucianism.realm.foundation_establishment,cultivation_alias.confucianism.stage.late,,413
confucianism,CORE_FORMATION,EARLY_STAGE,cultivation_alias.confucianism.realm.core_formation,cultivation_alias.confucianism.stage.early,,421
confucianism,CORE_FORMATION,MIDDLE_STAGE,cultivation_alias.confucianism.realm.core_formation,cultivation_alias.confucianism.stage.middle,,422
confucianism,CORE_FORMATION,LATE_STAGE,cultivation_alias.confucianism.realm.core_formation,cultivation_alias.confucianism.stage.late,,423
confucianism,NASCENT_SOUL,EARLY_STAGE,cultivation_alias.confucianism.realm.nascent_soul,cultivation_alias.confucianism.stage.early,,431
confucianism,NASCENT_SOUL,MIDDLE_STAGE,cultivation_alias.confucianism.realm.nascent_soul,cultivation_alias.confucianism.stage.middle,,432
confucianism,NASCENT_SOUL,LATE_STAGE,cultivation_alias.confucianism.realm.nascent_soul,cultivation_alias.confucianism.stage.late,,433
buddhism,QI_REFINEMENT,EARLY_STAGE,cultivation_alias.buddhism.realm.qi_refinement,cultivation_alias.buddhism.stage.early,,501
buddhism,QI_REFINEMENT,MIDDLE_STAGE,cultivation_alias.buddhism.realm.qi_refinement,cultivation_alias.buddhism.stage.middle,,502
buddhism,QI_REFINEMENT,LATE_STAGE,cultivation_alias.buddhism.realm.qi_refinement,cultivation_alias.buddhism.stage.late,,503
buddhism,FOUNDATION_ESTABLISHMENT,EARLY_STAGE,cultivation_alias.buddhism.realm.foundation_establishment,cultivation_alias.buddhism.stage.early,,511
buddhism,FOUNDATION_ESTABLISHMENT,MIDDLE_STAGE,cultivation_alias.buddhism.realm.foundation_establishment,cultivation_alias.buddhism.stage.middle,,512
buddhism,FOUNDATION_ESTABLISHMENT,LATE_STAGE,cultivation_alias.buddhism.realm.foundation_establishment,cultivation_alias.buddhism.stage.late,,513
buddhism,CORE_FORMATION,EARLY_STAGE,cultivation_alias.buddhism.realm.core_formation,cultivation_alias.buddhism.stage.early,,521
buddhism,CORE_FORMATION,MIDDLE_STAGE,cultivation_alias.buddhism.realm.core_formation,cultivation_alias.buddhism.stage.middle,,522
buddhism,CORE_FORMATION,LATE_STAGE,cultivation_alias.buddhism.realm.core_formation,cultivation_alias.buddhism.stage.late,,523
buddhism,NASCENT_SOUL,EARLY_STAGE,cultivation_alias.buddhism.realm.nascent_soul,cultivation_alias.buddhism.stage.early,,531
buddhism,NASCENT_SOUL,MIDDLE_STAGE,cultivation_alias.buddhism.realm.nascent_soul,cultivation_alias.buddhism.stage.middle,,532
buddhism,NASCENT_SOUL,LATE_STAGE,cultivation_alias.buddhism.realm.nascent_soul,cultivation_alias.buddhism.stage.late,,533
yao,QI_REFINEMENT,EARLY_STAGE,cultivation_alias.yao.realm.qi_refinement,cultivation_alias.yao.stage.early,,601
yao,QI_REFINEMENT,MIDDLE_STAGE,cultivation_alias.yao.realm.qi_refinement,cultivation_alias.yao.stage.middle,,602
yao,QI_REFINEMENT,LATE_STAGE,cultivation_alias.yao.realm.qi_refinement,cultivation_alias.yao.stage.late,,603
yao,FOUNDATION_ESTABLISHMENT,EARLY_STAGE,cultivation_alias.yao.realm.foundation_establishment,cultivation_alias.yao.stage.early,,611
yao,FOUNDATION_ESTABLISHMENT,MIDDLE_STAGE,cultivation_alias.yao.realm.foundation_establishment,cultivation_alias.yao.stage.middle,,612
yao,FOUNDATION_ESTABLISHMENT,LATE_STAGE,cultivation_alias.yao.realm.foundation_establishment,cultivation_alias.yao.stage.late,,613
yao,CORE_FORMATION,EARLY_STAGE,cultivation_alias.yao.realm.core_formation,cultivation_alias.yao.stage.early,,621
yao,CORE_FORMATION,MIDDLE_STAGE,cultivation_alias.yao.realm.core_formation,cultivation_alias.yao.stage.middle,,622
yao,CORE_FORMATION,LATE_STAGE,cultivation_alias.yao.realm.core_formation,cultivation_alias.yao.stage.late,,623
yao,NASCENT_SOUL,EARLY_STAGE,cultivation_alias.yao.realm.nascent_soul,cultivation_alias.yao.stage.early,,631
yao,NASCENT_SOUL,MIDDLE_STAGE,cultivation_alias.yao.realm.nascent_soul,cultivation_alias.yao.stage.middle,,632
yao,NASCENT_SOUL,LATE_STAGE,cultivation_alias.yao.realm.nascent_soul,cultivation_alias.yao.stage.late,,633
